price,date,lag_1,lag_2,lag_3,day_of_week,month,is_weekend
21270,2023-03-18 03:48:09,21030.0,20890.0,20830.0,5,3,1
22430,2023-03-24 00:10:08,21270.0,21030.0,20890.0,4,3,0
21560,2023-03-26 03:01:27,22430.0,21270.0,21030.0,6,3,1
21360,2023-04-14 02:02:50,21560.0,22430.0,21270.0,4,4,0
21270,2023-04-15 15:15:58,21360.0,21560.0,22430.0,5,4,1
18150,2023-04-17 22:42:52,21270.0,21360.0,21560.0,0,4,0
20960,2023-04-20 01:12:37,18150.0,21270.0,21360.0,3,4,0
21030,2023-04-24 17:06:43,20960.0,18150.0,21270.0,0,4,0
20420,2023-04-26 23:29:49,21030.0,20960.0,18150.0,2,4,0
20900,2023-04-27 18:16:46,20420.0,21030.0,20960.0,3,4,0
21030,2023-05-02 12:51:31,20900.0,20420.0,21030.0,1,5,0
20960,2023-05-06 20:26:19,21030.0,20900.0,20420.0,5,5,1
20460,2023-05-12 03:35:19,20960.0,21030.0,20900.0,4,5,0
20430,2023-05-13 22:23:28,20460.0,20960.0,21030.0,5,5,1
20590,2023-05-14 18:02:28,20430.0,20460.0,20960.0,6,5,1
20430,2023-05-19 12:29:39,20590.0,20430.0,20460.0,4,5,0
17360,2023-05-21 07:13:19,20430.0,20590.0,20430.0,6,5,1
20920,2023-05-30 18:09:24,17360.0,20430.0,20590.0,1,5,0
20880,2023-06-03 07:02:43,20920.0,17360.0,20430.0,5,6,1
17740,2023-06-04 20:07:31,20880.0,20920.0,17360.0,6,6,1
20880,2023-06-05 15:44:54,17740.0,20880.0,20920.0,0,6,0
20810,2023-06-07 06:52:22,20880.0,17740.0,20880.0,2,6,0
20580,2023-06-14 10:24:07,20810.0,20880.0,17740.0,2,6,0
17400,2023-06-18 09:59:38,20580.0,20810.0,20880.0,6,6,1
19960,2023-06-19 03:02:41,17400.0,20580.0,20810.0,0,6,0
20410,2023-06-19 21:39:56,19960.0,17400.0,20580.0,0,6,0
20850,2023-06-21 13:16:38,20410.0,19960.0,17400.0,2,6,0
21120,2023-07-04 14:45:43,20850.0,20410.0,19960.0,1,7,0
20700,2023-07-06 23:22:49,21120.0,20850.0,20410.0,3,7,0
21120,2023-07-07 18:57:22,20700.0,21120.0,20850.0,4,7,0
17890,2023-07-08 15:10:39,21120.0,20700.0,21120.0,5,7,1
21120,2023-07-09 11:12:08,17890.0,21120.0,20700.0,6,7,1
20640,2023-07-11 01:30:09,21120.0,17890.0,21120.0,1,7,0
21010,2023-07-21 00:41:13,20640.0,21120.0,17890.0,4,7,0
21500,2023-07-22 17:27:04,21010.0,20640.0,21120.0,5,7,1
21800,2023-07-25 06:10:39,21500.0,21010.0,20640.0,1,7,0
21140,2023-07-27 19:50:14,21800.0,21500.0,21010.0,3,7,0
17540,2023-07-29 12:14:29,21140.0,21800.0,21500.0,5,7,1
21140,2023-07-31 03:46:43,17540.0,21140.0,21800.0,0,7,0
20770,2023-08-07 15:11:59,21140.0,17540.0,21140.0,0,8,0
20680,2023-08-08 11:27:07,20770.0,21140.0,17540.0,1,8,0
20770,2023-08-11 20:03:06,20680.0,20770.0,21140.0,4,8,0
20660,2023-08-18 14:55:38,20770.0,20680.0,20770.0,4,8,0
20550,2023-08-21 22:08:17,20660.0,20770.0,20680.0,0,8,0
21100,2023-08-24 14:13:06,20550.0,20660.0,20770.0,3,8,0
20900,2023-08-25 10:49:02,21100.0,20550.0,20660.0,4,8,0
20900,2023-09-14 21:30:13,20900.0,21100.0,20550.0,3,9,0
20900,2023-09-14 21:30:13,20900.0,20900.0,21100.0,3,9,0
20900,2023-09-19 04:13:33,20900.0,20900.0,20900.0,1,9,0
20900,2023-09-19 04:13:33,20900.0,20900.0,20900.0,1,9,0
20400,2023-09-25 23:37:27,20900.0,20900.0,20900.0,0,9,0
20900,2023-10-05 15:23:17,20400.0,20900.0,20900.0,3,10,0
20660,2023-10-14 16:12:47,20900.0,20400.0,20900.0,5,10,1
17760,2023-10-19 20:04:14,20660.0,20900.0,20400.0,3,10,0
20660,2023-10-20 17:19:12,17760.0,20660.0,20900.0,4,10,0
20650,2023-10-26 14:17:09,20660.0,17760.0,20660.0,3,10,0
20880,2023-11-02 09:29:09,20650.0,20660.0,17760.0,3,11,0
20400,2023-11-04 02:34:21,20880.0,20650.0,20660.0,5,11,1
21660,2023-11-06 18:02:18,20400.0,20880.0,20650.0,0,11,0
21500,2023-11-08 14:28:27,21660.0,20400.0,20880.0,2,11,0
21600,2023-11-16 20:10:22,21500.0,21660.0,20400.0,3,11,0
21450,2023-11-22 12:43:56,21600.0,21500.0,21660.0,2,11,0
21350,2023-11-26 18:25:00,21450.0,21600.0,21500.0,6,11,1
18000,2023-11-29 16:24:57,21350.0,21450.0,21600.0,2,11,0
19600,2023-12-02 22:07:13,18000.0,21350.0,21450.0,5,12,1
20800,2023-12-09 15:03:06,19600.0,18000.0,21350.0,5,12,1
20730,2023-12-12 07:49:19,20800.0,19600.0,18000.0,1,12,0
21190,2023-12-25 14:51:17,20730.0,20800.0,19600.0,0,12,0
21000,2024-01-06 22:18:18,21190.0,20730.0,20800.0,5,1,1
